<analysis>**original_problem_statement:**
The user, speaking German, requested an application to replace their Excel-based work plan for teachers. The initial request was: Can you create an app for me, with a user-friendly desktop, that includes the elements of my Excel file, but is much more functional and clearly arranged, and offers the possibility of extending the app with useful features later?

The user provided an Excel file () and further clarified the requirements:
- **Core Functionality:** Create, update, and manage work plans for a school year, for various classes and subjects (e.g., Class 6a - German).
- **Features:**
    - Integrate non-teaching days (holidays/absences).
    - A calendar view similar to the one in the Excel file.
    - Export function to Word.
    - Ability to manage multiple school years.
    - A folder/repository for documents (Word) and images (JPG) associated with individual lessons.
    - AI-powered suggestions for lesson topics (user preferred Gemini).
- **Design:** Dark and professional.

**User's preferred language**: German (Deutsch). The next agent MUST respond in German.

**what currently exists?**
A full-stack application (FastAPI backend, React frontend) has been developed, named PlanEd. The entire backend logic resides in a single  file, and the entire frontend is in a single  file.

The application supports:
- User authentication (Register/Login with JWT).
- CRUD operations for School Years, Classes/Subjects, and Lessons.
- A full-screen calendar for viewing and managing lessons.
- A statistics dashboard.
- A document management page.
- A feature to share work plans with other users (colleagues).
- A notification system for updates on shared plans.
- Drag-and-drop functionality to move lessons within the calendar.
- Partial German localization of the UI.

However, the last action taken was a complete overwrite of both  and  in an attempt to add a very large number of new features at once. The current state is unstable and untested.

**Last working item**:
- **Last item agent was working:** The user requested the implementation of a comprehensive list of new features. The agent began this by installing new dependencies (, , ) and then performing a complete overwrite of  and  with new, much larger versions intended to contain all the new functionality.
- **Status:** IN PROGRESS
- **Agent Testing Done:** N
- **Which testing method agent to use?** both. The backend and frontend have been completely rewritten and must be thoroughly tested. Start with  to get a baseline of the (likely broken) state.
- **User Testing Done:** N

**All Pending/In progress Issue list**:
- **Issue 1 (P0):** The application is likely broken due to a big bang rewrite of the core  and  files. The agent overwrote them completely instead of making incremental changes. This monolithic file structure is unsustainable and the code is untested.
  - **Attempted fixes:** None. This was the last action.
  - **Next debug checklist:**
    1.  Immediately run  to assess the full extent of the breakage.
    2.  Review the  logs for both frontend and backend to check for startup errors (e.g., missing imports, syntax errors). ==> /var/log/supervisor/backend.err.log <==
INFO:     Application shutdown complete.
INFO:     Finished server process [604]
INFO:     Started server process [1347]
INFO:     Waiting for application startup.
INFO:     Application startup complete.
WARNING:  WatchFiles detected changes in 'server.py'. Reloading...
INFO:     Shutting down
INFO:     Waiting for application shutdown.
INFO:     Application shutdown complete.
INFO:     Finished server process [1347]
INFO:     Started server process [1996]
INFO:     Waiting for application startup.
INFO:     Application startup complete.
WARNING:  WatchFiles detected changes in 'server.py'. Reloading...
INFO:     Shutting down
INFO:     Waiting for application shutdown.
INFO:     Application shutdown complete.
INFO:     Finished server process [1996]
INFO:     Started server process [2073]
INFO:     Waiting for application startup.
INFO:     Application startup complete.
INFO:     Shutting down
INFO:     Waiting for application shutdown.
INFO:     Application shutdown complete.
INFO:     Finished server process [2073]
INFO:     Stopping reloader process [602]
INFO:     Will watch for changes in these directories: ['/app/backend']
INFO:     Uvicorn running on http://0.0.0.0:8001 (Press CTRL+C to quit)
INFO:     Started reloader process [2669] using WatchFiles
INFO:     Started server process [2671]
INFO:     Waiting for application startup.
INFO:     Application startup complete.
WARNING:  WatchFiles detected changes in 'server.py'. Reloading...
INFO:     Shutting down
INFO:     Waiting for application shutdown.
INFO:     Application shutdown complete.
INFO:     Finished server process [2671]
INFO:     Started server process [3098]
INFO:     Waiting for application startup.
INFO:     Application startup complete.
WARNING:  WatchFiles detected changes in 'server.py'. Reloading...
INFO:     Shutting down
INFO:     Waiting for application shutdown.
INFO:     Application shutdown complete.
INFO:     Finished server process [3098]
INFO:     Started server process [3148]
INFO:     Waiting for application startup.
INFO:     Application startup complete.
WARNING:  WatchFiles detected changes in 'server.py'. Reloading...
INFO:     Shutting down
INFO:     Waiting for application shutdown.
INFO:     Application shutdown complete.
INFO:     Finished server process [3148]
INFO:     Started server process [3216]
INFO:     Waiting for application startup.
